,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activations,param_model__epsilon,param_model__llambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.772020435333252,0.03575948517454842,0.0013031005859375,0.0006014595961889579,"['sigmoid', 'identity']",0.0001,0.0,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0}",-0.10676429644330515,-0.11321342270651058,-0.04733126906336885,-0.11913356093226468,-0.0700500024520994,-0.09129851031950974,0.027852688768729785,51
1,2.7802862167358398,0.1812948389362675,0.0010741233825683593,0.0001466081110320088,"['sigmoid', 'identity']",0.0001,0.0001,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0.0001}",-0.1364214207227204,-0.05199220211205078,-0.25531930177303386,-0.08621318989482883,-0.08723589404805225,-0.12343640171013721,0.07122082273718597,59
2,2.6321731567382813,0.020444138361619298,0.0009998798370361329,9.536743164062499e-08,"['sigmoid', 'identity']",0.0001,0.001,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0.001}",-0.0817652896221366,-0.13575160718920223,-0.08289696193354239,-0.037765524366172226,-0.13685993793525686,-0.09500786420926206,0.037444288946435964,53
3,2.6326860427856444,0.020606216750770172,0.001000356674194336,1.4650622840630738e-06,"['sigmoid', 'identity']",0.0001,0.01,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0.01}",-0.06785325464536633,-0.07406978417823562,-0.06673195481315423,-0.07395672789724003,-0.06473903115651262,-0.06947015053810178,0.003841394662929004,45
4,2.6503685474395753,0.016688345021142525,0.001100635528564453,0.0008020896051530302,"['sigmoid', 'identity']",0.0001,0.1,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0.1}",-0.051947949156274244,-0.06626334307916233,-0.08424664930260048,-0.10131228790808201,-0.15381323840601765,-0.09151669357042735,0.03530746084352149,52
5,2.6700430393218992,0.03905089487559127,0.0009996414184570313,8.313939940530154e-07,"['sigmoid', 'identity']",0.001,0.0,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0}",-0.02787001772701612,-0.04430853859100742,-0.01868298331030387,-0.030213688483675387,-0.03153199919226196,-0.030521445460852954,0.008226531775886616,34
6,2.648885631561279,0.03057960746758884,0.001201629638671875,0.00040137848161458874,"['sigmoid', 'identity']",0.001,0.0001,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0.0001}",-0.03694501204048572,-0.042919873765153514,-0.056296270490738175,-0.0345625611290341,-0.04696864521365638,-0.04353847252781358,0.007732410550188895,39
7,2.6891804695129395,0.0495573020461115,0.0008371353149414062,0.00042411574379211994,"['sigmoid', 'identity']",0.001,0.001,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0.001}",-0.048697700644100984,-0.023135746766688767,-0.04936572053026493,-0.023729517721502287,-0.03217619650748637,-0.03542097643400867,0.011566096707511362,37
8,2.705615758895874,0.13233064205751874,0.0011492252349853515,0.00019946426057870374,"['sigmoid', 'identity']",0.001,0.01,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0.01}",-0.02110591572683748,-0.029297869478417792,-0.023238060304657183,-0.023053985137562925,-0.03978042524797906,-0.02729525117909089,0.0068212471051907215,33
9,2.6764549732208254,0.021646333449372248,0.0011020183563232421,0.00020251793379803283,"['sigmoid', 'identity']",0.001,0.1,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0.1}",-0.022420591437095502,-0.01734680454383136,-0.021532078355902432,-0.016752417180100506,-0.020409785219747824,-0.019692335347335527,0.0022577601080953245,23
10,2.6553555488586427,0.007676137978566592,0.001000690460205078,1.4177387950247293e-06,"['sigmoid', 'identity']",0.01,0.0,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0}",-0.006473720318337678,-0.007268421371094142,-0.0076384579688715945,-0.004868480911558235,-0.007565535313833122,-0.006762923176738956,0.001033327211366515,6
11,2.6355738639831543,0.039835732049930975,0.0011000633239746094,0.0002013490847441073,"['sigmoid', 'identity']",0.01,0.0001,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0.0001}",-0.008482733792809399,-0.009621207887675521,-0.005741179992401732,-0.010486131231727525,-0.006427265101207447,-0.008151703601164326,0.001816749207057905,13
12,2.622369480133057,0.02600323976211183,0.0012013435363769532,0.0002461972356837012,"['sigmoid', 'identity']",0.01,0.001,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0.001}",-0.010316059126108642,-0.007687499785193923,-0.010291027866699984,-0.010885662370949796,-0.006441672322073337,-0.009124384294205135,0.0017403923242483483,17
13,2.643255615234375,0.005740037671629203,0.0010001659393310547,1.595802357738639e-06,"['sigmoid', 'identity']",0.01,0.01,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0.01}",-0.012724783204298977,-0.01273111367607927,-0.012113052513889394,-0.01616579199881607,-0.014130615059782312,-0.013573071290573205,0.001455554592292827,19
