,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activations,param_model__epsilon,param_model__llambda,param_model__n_hidden,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.18101806640625,0.025867417563852274,0.0010011672973632812,1.0271386732357986e-06,"['sigmoid', 'softmax']",0.0001,0.0,"[25, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0, 'model__n_hidden': [25, 2]}",0.8901098901098901,0.9560439560439561,0.8571428571428571,0.9010989010989011,0.9560439560439561,0.9120879120879121,0.038696300794855004,180
1,2.368871736526489,0.052725810759519605,0.00040078163146972656,0.0004908565504933472,"['sigmoid', 'softmax']",0.0001,0.0,"[50, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0, 'model__n_hidden': [50, 2]}",0.9120879120879121,0.945054945054945,0.945054945054945,0.9340659340659341,0.8791208791208791,0.923076923076923,0.025058800551629404,174
2,2.5855681896209717,0.07191382374594574,0.00050048828125,0.0006331259735863754,"['sigmoid', 'softmax']",0.0001,0.0,"[100, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0, 'model__n_hidden': [100, 2]}",0.945054945054945,0.9340659340659341,0.9340659340659341,0.967032967032967,0.967032967032967,0.9494505494505494,0.014906219743132457,125
3,2.2012604236602784,0.03368585360243178,0.0009012699127197265,0.0004911100830714207,"['sigmoid', 'softmax']",0.0001,0.0001,"[25, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.0001, 'model__n_hidden': [25, 2]}",0.8681318681318682,0.9230769230769231,0.9340659340659341,0.9120879120879121,0.945054945054945,0.9164835164835164,0.026556144996911137,177
4,2.3422801971435545,0.0718831542512159,0.000900888442993164,0.0004903982508247651,"['sigmoid', 'softmax']",0.0001,0.0001,"[50, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.0001, 'model__n_hidden': [50, 2]}",0.9230769230769231,0.9560439560439561,0.9230769230769231,0.967032967032967,0.9560439560439561,0.945054945054945,0.01838813245129835,135
5,2.519372749328613,0.03025580591584925,0.000400543212890625,0.0004905634543312666,"['sigmoid', 'softmax']",0.0001,0.0001,"[100, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.0001, 'model__n_hidden': [100, 2]}",0.945054945054945,0.978021978021978,0.9340659340659341,0.945054945054945,0.989010989010989,0.9582417582417582,0.021308482889742113,108
6,2.178655004501343,0.07812932546363176,0.0008011341094970703,0.0004005678033092337,"['sigmoid', 'softmax']",0.0001,0.001,"[25, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.001, 'model__n_hidden': [25, 2]}",0.9230769230769231,0.9560439560439561,0.9010989010989011,0.9010989010989011,0.967032967032967,0.9296703296703296,0.02745054065230065,167
7,2.3246892929077148,0.06582051093897852,0.0010011672973632812,1.668248718694296e-06,"['sigmoid', 'softmax']",0.0001,0.001,"[50, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.001, 'model__n_hidden': [50, 2]}",0.9120879120879121,0.945054945054945,0.9230769230769231,0.9340659340659341,0.989010989010989,0.9406593406593406,0.026556144996911158,143
8,2.6074295043945312,0.13581061706886743,0.0011007308959960938,0.00020053524874722554,"['sigmoid', 'softmax']",0.0001,0.001,"[100, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.001, 'model__n_hidden': [100, 2]}",0.9340659340659341,0.967032967032967,0.9340659340659341,0.9560439560439561,0.978021978021978,0.9538461538461538,0.01758241758241757,116
9,2.284596347808838,0.057563205903499295,0.0008010387420654297,0.00040052097122564854,"['sigmoid', 'softmax']",0.0001,0.01,"[25, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.01, 'model__n_hidden': [25, 2]}",0.9340659340659341,0.9560439560439561,0.8901098901098901,0.8901098901098901,0.9010989010989011,0.9142857142857143,0.02637362637362641,178
10,2.341036653518677,0.06647332164675063,0.00040063858032226565,0.0004906815293604229,"['sigmoid', 'softmax']",0.0001,0.01,"[50, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.01, 'model__n_hidden': [50, 2]}",0.967032967032967,0.9560439560439561,0.9120879120879121,0.945054945054945,0.978021978021978,0.9516483516483516,0.022627758551619782,122
11,2.5578495979309084,0.051395914684191496,0.0007006645202636719,0.0003996157808267586,"['sigmoid', 'softmax']",0.0001,0.01,"[100, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.01, 'model__n_hidden': [100, 2]}",0.9010989010989011,0.9560439560439561,0.9560439560439561,0.967032967032967,1.0,0.9560439560439562,0.03184917966195481,112
12,2.238353204727173,0.02819097016991027,0.0007997035980224609,0.0003998519802667426,"['sigmoid', 'softmax']",0.0001,0.1,"[25, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.1, 'model__n_hidden': [25, 2]}",0.9120879120879121,0.978021978021978,0.9010989010989011,0.9230769230769231,0.9120879120879121,0.9252747252747253,0.027274008013166703,170
