,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__epsilon,param_model__llambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.3008316040039063,0.08124051488465128,0.002578926086425781,0.004167703950561144,0.0001,0.0,"{'model__epsilon': 0.0001, 'model__llambda': 0}",0.9230769230769231,0.8901098901098901,0.8681318681318682,0.8901098901098901,0.8791208791208791,0.8901098901098902,0.01838813245129838,19
1,1.4975061893463135,0.288435975099961,0.00039992332458496096,0.0007998466491699219,0.0001,0.0001,"{'model__epsilon': 0.0001, 'model__llambda': 0.0001}",0.945054945054945,0.8461538461538461,0.9340659340659341,0.9120879120879121,0.8791208791208791,0.9032967032967033,0.036380099686256814,18
2,2.594438600540161,0.674913613523895,0.0016994476318359375,0.0029237317268995286,0.0001,0.001,"{'model__epsilon': 0.0001, 'model__llambda': 0.001}",0.9230769230769231,0.8901098901098901,0.8901098901098901,0.9230769230769231,0.945054945054945,0.9142857142857144,0.02130848288974213,16
3,2.425607776641846,0.09703335306410064,0.0021018028259277345,0.004203605651855469,0.0001,0.01,"{'model__epsilon': 0.0001, 'model__llambda': 0.01}",0.8901098901098901,0.945054945054945,0.8901098901098901,0.8791208791208791,0.9230769230769231,0.9054945054945055,0.024670268484223802,17
4,4.200890684127808,1.9230118355249657,0.0,0.0,0.0001,0.1,"{'model__epsilon': 0.0001, 'model__llambda': 0.1}",0.8901098901098901,0.8791208791208791,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8813186813186812,0.024473689506945184,20
5,5.42564058303833,0.5510192233237474,0.0,0.0,0.001,0.0,"{'model__epsilon': 0.001, 'model__llambda': 0}",0.967032967032967,0.9560439560439561,0.9230769230769231,0.967032967032967,0.989010989010989,0.9604395604395606,0.021533975760731225,9
6,4.7380365371704105,0.5776669693545918,0.00020022392272949218,0.00040044784545898435,0.001,0.0001,"{'model__epsilon': 0.001, 'model__llambda': 0.0001}",0.9340659340659341,0.9560439560439561,0.9230769230769231,0.967032967032967,0.989010989010989,0.9538461538461538,0.023466106048420463,12
7,3.3734150886535645,1.5359949946129359,0.0010561466217041016,0.0008960742654045896,0.001,0.001,"{'model__epsilon': 0.001, 'model__llambda': 0.001}",0.945054945054945,0.989010989010989,0.9230769230769231,0.9560439560439561,0.989010989010989,0.9604395604395606,0.02563055777953979,9
8,5.059939384460449,0.031174837232512836,0.001720428466796875,0.0006199755240484119,0.001,0.01,"{'model__epsilon': 0.001, 'model__llambda': 0.01}",0.9340659340659341,0.9560439560439561,0.945054945054945,0.967032967032967,0.967032967032967,0.9538461538461538,0.012815278889769894,12
9,4.218421077728271,1.2364940072518462,0.0011656761169433593,0.00015505160711858632,0.001,0.1,"{'model__epsilon': 0.001, 'model__llambda': 0.1}",0.9010989010989011,0.978021978021978,0.9230769230769231,0.9560439560439561,0.989010989010989,0.9494505494505494,0.03304021182059979,15
