,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activations,param_model__epsilon,param_model__llambda,param_model__n_hidden,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2173133373260498,0.01772457457608501,0.0008007049560546875,0.00040035932157027755,"['sigmoid', 'softmax']",0.0001,0.0,"[25, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0, 'model__n_hidden': [25, 2]}",0.8681318681318682,0.8351648351648352,0.8791208791208791,0.945054945054945,0.7252747252747253,0.8505494505494505,0.0720932723817878,172
1,0.21480412483215333,0.0026451106885684726,0.0006003379821777344,0.0004901743814432736,"['sigmoid', 'softmax']",0.0001,0.0,"[50, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0, 'model__n_hidden': [50, 2]}",0.8571428571428571,0.8791208791208791,0.9120879120879121,0.8791208791208791,0.9230769230769231,0.8901098901098902,0.02407571681341392,151
2,0.22438793182373046,0.004346100571755449,0.0004001140594482422,0.0004900376480808074,"['sigmoid', 'softmax']",0.0001,0.0,"[100, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0, 'model__n_hidden': [100, 2]}",0.945054945054945,0.9120879120879121,0.8681318681318682,0.9230769230769231,0.8901098901098901,0.9076923076923077,0.026556144996911144,142
3,0.21143217086791993,0.011324917437248571,0.0010007858276367188,1.2579828222535055e-06,"['sigmoid', 'softmax']",0.0001,0.0001,"[25, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.0001, 'model__n_hidden': [25, 2]}",0.8901098901098901,0.8021978021978022,0.8791208791208791,0.8901098901098901,0.8571428571428571,0.8637362637362637,0.03304021182059977,166
4,0.20848393440246582,0.004742944097815663,0.0007013320922851562,0.0004004743096713789,"['sigmoid', 'softmax']",0.0001,0.0001,"[50, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.0001, 'model__n_hidden': [50, 2]}",0.9120879120879121,0.7912087912087912,0.8461538461538461,0.9010989010989011,0.7472527472527473,0.8395604395604395,0.06316530928879083,178
5,0.2250300884246826,0.013948739286255972,0.00040163993835449217,0.0004919071537673229,"['sigmoid', 'softmax']",0.0001,0.0001,"[100, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.0001, 'model__n_hidden': [100, 2]}",0.8791208791208791,0.9340659340659341,0.8791208791208791,0.9340659340659341,0.8351648351648352,0.8923076923076924,0.03768445758127966,149
6,0.2044541358947754,0.0049265300018177405,0.00019993782043457032,0.0003998756408691407,"['sigmoid', 'softmax']",0.0001,0.001,"[25, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.001, 'model__n_hidden': [25, 2]}",0.8461538461538461,0.8901098901098901,0.8901098901098901,0.8791208791208791,0.7912087912087912,0.8593406593406593,0.037684457581279654,169
7,0.20888724327087402,0.006193401997526739,0.000400543212890625,0.000490563825127073,"['sigmoid', 'softmax']",0.0001,0.001,"[50, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.001, 'model__n_hidden': [50, 2]}",0.8461538461538461,0.9010989010989011,0.9230769230769231,0.9120879120879121,0.8351648351648352,0.8835164835164836,0.03584506907758262,158
8,0.21778292655944825,0.006940869705474327,0.0007015228271484375,0.00039919585725539794,"['sigmoid', 'softmax']",0.0001,0.001,"[100, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.001, 'model__n_hidden': [100, 2]}",0.9120879120879121,0.9120879120879121,0.945054945054945,0.9010989010989011,0.8571428571428571,0.9054945054945055,0.028316700498296984,143
9,0.20311098098754882,0.0026868456602598357,0.0006002426147460937,0.0004900964834072319,"['sigmoid', 'softmax']",0.0001,0.01,"[25, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.01, 'model__n_hidden': [25, 2]}",0.9560439560439561,0.8571428571428571,0.8571428571428571,0.8021978021978022,0.7582417582417582,0.8461538461538461,0.0662993544131796,175
10,0.21445326805114745,0.007382020834068223,0.0008006572723388671,0.0004003306347002683,"['sigmoid', 'softmax']",0.0001,0.01,"[50, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.01, 'model__n_hidden': [50, 2]}",0.8901098901098901,0.8901098901098901,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.90989010989011,0.016150481820548478,140
11,0.20744380950927735,0.006197878551891034,0.001202535629272461,0.0008145472745642111,"['sigmoid', 'softmax']",0.0001,0.01,"[100, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.01, 'model__n_hidden': [100, 2]}",0.9340659340659341,0.9120879120879121,0.9120879120879121,0.8791208791208791,0.9340659340659341,0.9142857142857143,0.02014318986793777,135
12,0.20895824432373047,0.010578141361841676,0.0010015487670898438,1.5033610125002334e-06,"['sigmoid', 'softmax']",0.0001,0.1,"[25, 2]","{'model__activations': ['sigmoid', 'softmax'], 'model__epsilon': 0.0001, 'model__llambda': 0.1, 'model__n_hidden': [25, 2]}",0.8681318681318682,0.8571428571428571,0.8791208791208791,0.8351648351648352,0.9010989010989011,0.8681318681318683,0.021978021978021976,165
