,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activations,param_model__epsilon,param_model__llambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.7226129531860352,0.016572786504147174,0.0009005546569824218,0.0004908675147450923,"['sigmoid', 'identity']",0.0001,0.0,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0}",-0.058659937148471404,-0.052569779331313474,-0.09851838347089414,-0.20623311525209395,-0.12376760404495095,-0.10794976384954477,0.055669025263017764,45
1,2.710336685180664,0.07404234596761831,0.0010001182556152344,0.0006324851073777583,"['sigmoid', 'identity']",0.0001,0.001,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0.001}",-0.14813683551848117,-0.26544564825768957,-0.07936948807064693,-0.18555099240474424,-0.10751799213123311,-0.157204191276559,0.06500604663060779,48
2,2.6670086860656737,0.02893207959943713,0.0010001659393310547,5.223489356090222e-07,"['sigmoid', 'identity']",0.0001,0.1,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0.1}",-0.03186697611668701,-0.15485076938941628,-0.0754279343074729,-0.1407591004658645,-0.10054109097117175,-0.1006891742501225,0.04452802376702395,44
3,2.661322546005249,0.008515485651140107,0.000800466537475586,0.00040023450080903277,"['sigmoid', 'identity']",0.0001,10.0,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 10}",-0.11488639546806162,-0.08993161955130478,-0.1218730983639194,-0.12245103023265401,-0.10637385159346874,-0.11110319904188173,0.01208038976816378,46
4,2.7690860271453857,0.09669362801213327,0.0010010242462158204,1.8809397624317188e-06,"['sigmoid', 'identity']",0.001,0.0,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0}",-0.053678135366941715,-0.03528025610045839,-0.021568982148444046,-0.02823464093402778,-0.02658466301089402,-0.03306933551215319,0.011200840842588931,20
5,2.9002560138702393,0.034662558388976146,0.001101207733154297,0.0002031594021485818,"['sigmoid', 'identity']",0.001,0.001,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0.001}",-0.030709168761412976,-0.02394139977474942,-0.022950056087383354,-0.017118689865572106,-0.020769004306704336,-0.023097663759164437,0.0044685449657312125,15
6,2.9049930572509766,0.021344981836575926,0.0009999275207519531,0.0006323343829574791,"['sigmoid', 'identity']",0.001,0.1,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0.1}",-0.023193764588712897,-0.03342468487681218,-0.01688469250432539,-0.01956683106867098,-0.030589853912350026,-0.024731965390174297,0.006332497074952022,16
7,2.7795098304748533,0.1250762694460523,0.0013013839721679687,0.0006030324208317574,"['sigmoid', 'identity']",0.001,10.0,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 10}",-0.08699378056132659,-0.08603104871735522,-0.07862066374106448,-0.08138694120552521,-0.08403013074318348,-0.08341251299369098,0.003070127643616885,36
8,2.6274096012115478,0.011523279684138616,0.0010009288787841796,1.7546052449201677e-06,"['sigmoid', 'identity']",0.01,0.0,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0}",-0.006568077923965818,-0.007435426428711229,-0.007716129399754829,-0.006763547315631691,-0.006603569184632929,-0.007017350050539299,0.00046916016749679474,5
9,2.705372524261475,0.027631017142217537,0.0010005474090576173,1.489686904126483e-06,"['sigmoid', 'identity']",0.01,0.001,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0.001}",-0.010678862319221811,-0.0069238611900246825,-0.007657324206998927,-0.007522547340706065,-0.0061103425337639735,-0.007778587518143092,0.0015495453338801482,10
10,2.7525390625,0.06851539969612186,0.0011004924774169922,0.0006637313648606525,"['sigmoid', 'identity']",0.01,0.1,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0.1}",-0.06812998880248163,-0.06162661723541438,-0.06012366522810088,-0.0608117818591306,-0.06477291939927995,-0.06309299450488148,0.00297874366102107,22
11,2.675399589538574,0.02198043606888542,0.001002025604248047,0.0006333968961427795,"['sigmoid', 'identity']",0.01,10.0,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 10}",-0.0870191722116344,-0.0860840107769274,-0.07875588967642067,-0.08128902535797082,-0.08389113263868399,-0.08340784613232746,0.003051792897455973,35
12,2.693023920059204,0.011169184468798981,0.001000833511352539,1.37706080228745e-06,"['sigmoid', 'identity']",0.1,0.0,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.1, 'model__llambda': 0}",-0.00354131330415446,-0.0029128108927559816,-0.003054140367758893,-0.01087857892391671,-0.013284083207174122,-0.006734185339152034,0.004436602883961401,3
13,2.678655004501343,0.04733659933009472,0.0010004997253417968,1.1930461886593632e-06,"['sigmoid', 'identity']",0.1,0.001,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.1, 'model__llambda': 0.001}",-0.011457053081198374,-0.005383260137163514,-0.006398231410317983,-0.009139707425184905,-0.005077468550421294,-0.007491144120857213,0.002445798752595149,8
14,2.6845512866973875,0.021045491620511187,0.0013019561767578125,0.0006027482425506053,"['sigmoid', 'identity']",0.1,0.1,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.1, 'model__llambda': 0.1}",-0.07154657974252121,-0.08569002210669574,-0.07872909960110264,-0.08122176029311187,-0.06809042516780676,-0.07705557738224765,0.006409904860228951,27
15,2.7075063228607177,0.01907663980200337,0.0009004592895507813,0.0004904567554639223,"['sigmoid', 'identity']",0.1,10.0,"{'model__activations': ['sigmoid', 'identity'], 'model__epsilon': 0.1, 'model__llambda': 10}",-0.08694544488227658,-0.08601009300392158,-0.07866328781633813,-0.08128313034516742,-0.08388307791756856,-0.08335700679305445,0.0030503923204731696,33
16,2.705509090423584,0.04357271811543126,0.001101064682006836,0.00020096988651540384,"['relu', 'identity']",0.0001,0.0,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0}",-0.07970416466704909,-0.08704731107945635,-0.13203999356118135,-0.049070718244119106,-0.09766432259934982,-0.08910530203023115,0.02687760844778626,40
17,2.6758227348327637,0.03873987046050427,0.001000690460205078,1.5033610125002334e-06,"['relu', 'identity']",0.0001,0.001,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0.001}",-0.1038910265161665,-0.06197799698728705,-0.05359442657017254,-0.0910108304586458,-0.07410852098295981,-0.07691656030304635,0.018445801469808426,26
18,2.687691068649292,0.043665577237986,0.0008012771606445313,0.00040064226923830845,"['relu', 'identity']",0.0001,0.1,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0.1}",-0.06713045517298487,-0.0709766696611828,-0.043557983388304876,-0.17154234726482173,-0.056089072467984114,-0.08185930559105567,0.045846515594917155,29
19,2.673769998550415,0.005938472284239326,0.0009996891021728516,7.688768146799612e-07,"['relu', 'identity']",0.0001,10.0,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 10}",-0.10025641472349794,-0.11839453550764965,-0.12909406357592482,-0.12043644554025935,-0.16407889308845747,-0.12645207048715784,0.02102418560081069,47
20,2.6917529106140137,0.020972358440237624,0.0007006645202636719,0.0003996750642206019,"['relu', 'identity']",0.001,0.0,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0}",-0.043707680239924544,-0.028112790442189936,-0.03423565715130177,-0.03286813000089573,-0.017842371937605527,-0.0313533259543835,0.008441320786346187,19
21,2.7101662158966064,0.0632932365793585,0.0013003826141357421,0.0004005685696068884,"['relu', 'identity']",0.001,0.001,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0.001}",-0.03238057373545727,-0.023945543151351487,-0.028417362865570964,-0.030655004366761017,-0.010540358142001584,-0.025187768452228466,0.007850441375573369,17
22,2.8755359172821047,0.030712167248983516,0.0013016223907470702,0.00040006426150248665,"['relu', 'identity']",0.001,0.1,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0.1}",-0.027292518317418163,-0.020330478968816443,-0.019459306775270656,-0.01771850751681211,-0.021373772160583025,-0.02123491674778008,0.0032572918184367457,14
23,2.845471477508545,0.04427664830810562,0.0013012409210205079,0.00040171240846032815,"['relu', 'identity']",0.001,10.0,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 10}",-0.08727227390877075,-0.08628707358510468,-0.07877717070817762,-0.08137138595552763,-0.08389969601789676,-0.08352152003509548,0.0031302199676307495,37
24,2.83594970703125,0.03932080137090485,0.0013021469116210938,0.00039900941891049947,"['relu', 'identity']",0.01,0.0,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0}",-0.008732911413799211,-0.00613040812600352,-0.005746209339729127,-0.00753885903594618,-0.008247357065152821,-0.007279148996126172,0.0011651447046264272,7
25,2.8294589042663576,0.02027244869118866,0.0007997989654541015,0.00039989957867441947,"['relu', 'identity']",0.01,0.001,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0.001}",-0.011128464595199526,-0.007131757456615846,-0.00853394437348611,-0.011306046726797511,-0.007782435671723779,-0.009176529764764555,0.0017252478193789278,11
26,2.847419548034668,0.0487609590827645,0.00110015869140625,0.00020105914403347277,"['relu', 'identity']",0.01,0.1,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0.1}",-0.06568670917039307,-0.06646635541161312,-0.06098892165788559,-0.06069259344082246,-0.06401475119631427,-0.0635698661754057,0.0023667940271352144,24
27,2.803736925125122,0.022262126198267278,0.0007998466491699219,0.00039992339565285114,"['relu', 'identity']",0.01,10.0,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 10}",-0.08691611452994157,-0.08602682328925411,-0.07862388921011071,-0.08129566727743515,-0.08387397112728141,-0.08334729308680458,0.003056582110828746,32
28,2.813649320602417,0.03363247029374936,0.0010202407836914062,3.874295308034113e-05,"['relu', 'identity']",0.1,0.0,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.1, 'model__llambda': 0}",-0.007417778628719615,-0.0029027769511166066,-0.007064326955570146,-0.005278100294179629,-0.005965474866985586,-0.005725691539314317,0.0016051033757983493,2
29,2.845870351791382,0.031198347016240406,0.0011997699737548828,0.0003980187894356802,"['relu', 'identity']",0.1,0.001,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.1, 'model__llambda': 0.001}",-0.007537539482307296,-0.007206529903111605,-0.005598494782897931,-0.007979411916435,-0.0076037545575586216,-0.0071851461284620916,0.0008304446992892401,6
30,2.883602237701416,0.14250256342091255,0.0008006095886230469,0.0004003054333125655,"['relu', 'identity']",0.1,0.1,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.1, 'model__llambda': 0.1}",-0.07140104665252377,-0.07028819407757031,-0.07869688131723009,-0.06543719867932284,-0.08387140429300809,-0.07393894500393103,0.006532079399807863,25
31,2.7221187591552733,0.035600192668800976,0.0008011817932128906,0.0004005946001513504,"['relu', 'identity']",0.1,10.0,"{'model__activations': ['relu', 'identity'], 'model__epsilon': 0.1, 'model__llambda': 10}",-0.08689448980235781,-0.0860073492808445,-0.07865385354194973,-0.08123654263581105,-0.0839242559826864,-0.0833432982487299,0.0030487686731343376,31
32,2.7321356296539308,0.03920317227685386,0.0014016151428222657,0.0005855145851341593,"['elu', 'identity']",0.0001,0.0,"{'model__activations': ['elu', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0}",-0.08680403753817345,-0.10622827398234069,-0.1170658424393438,-0.06930138330209902,-0.10254729513384843,-0.09638936647916108,0.01666060147660996,42
33,2.700293016433716,0.023377504855233718,0.0012005805969238282,0.0007482906725092765,"['elu', 'identity']",0.0001,0.001,"{'model__activations': ['elu', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0.001}",-0.057947286875899666,-0.04853077515449172,-0.17767860386943976,-0.07619234450516285,-0.07555557008052691,-0.08718091609710418,0.04646324857368924,39
34,2.7166733741760254,0.027542371305358568,0.0015010833740234375,0.0006348624500889982,"['elu', 'identity']",0.0001,0.1,"{'model__activations': ['elu', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 0.1}",-0.12210920856059428,-0.099296802606065,-0.05726440357399881,-0.08295632746164903,-0.12194216154735579,-0.09671378074993257,0.024631653756108082,43
35,2.744770622253418,0.04055112921709135,0.0008004188537597656,0.00040020972515155534,"['elu', 'identity']",0.0001,10.0,"{'model__activations': ['elu', 'identity'], 'model__epsilon': 0.0001, 'model__llambda': 10}",-0.08717513996616472,-0.09450164125195411,-0.09395259558908275,-0.08140168576698677,-0.08941591401680579,-0.08928939531819882,0.004808637833717662,41
36,2.714002180099487,0.0038027230453344632,0.0010005950927734375,0.00031621474751620377,"['elu', 'identity']",0.001,0.0,"{'model__activations': ['elu', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0}",-0.03525495990182231,-0.032075821720917996,-0.022788612216102223,-0.07061078777801426,-0.0285288422143766,-0.03785180476624668,0.01689422358027375,21
37,2.7357208251953127,0.04060754490464872,0.0009999275207519531,3.693564745147149e-07,"['elu', 'identity']",0.001,0.001,"{'model__activations': ['elu', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0.001}",-0.017818302674194073,-0.0574417394948295,-0.022886083028005908,-0.021474266917750815,-0.034050413637999474,-0.03073416115055595,0.014411451302195627,18
38,2.7354172229766847,0.028376126071247853,0.0010021686553955077,0.0003159816971796353,"['elu', 'identity']",0.001,0.1,"{'model__activations': ['elu', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 0.1}",-0.019534030013538557,-0.020180556281242504,-0.018387316966499603,-0.019698009309468148,-0.02066324824434547,-0.019692632163018857,0.0007627839589637368,13
39,2.7357043266296386,0.03320064527700373,0.001400327682495117,0.0004897069234339744,"['elu', 'identity']",0.001,10.0,"{'model__activations': ['elu', 'identity'], 'model__epsilon': 0.001, 'model__llambda': 10}",-0.08738425753381335,-0.08604805771320626,-0.07882788379101871,-0.08124158639519269,-0.0842869187300079,-0.08355774083264778,0.0031340621451491054,38
40,2.7327876567840574,0.04980224255648091,0.0007998466491699219,0.00039992333879854,"['elu', 'identity']",0.01,0.0,"{'model__activations': ['elu', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0}",-0.006447271585991572,-0.0068998488423812855,-0.006757960931820937,-0.00900222478938322,-0.008869173694260001,-0.007595295968767404,0.0011049841463958011,9
41,2.729122543334961,0.026963567501740948,0.0012006759643554688,0.00039971006687878447,"['elu', 'identity']",0.01,0.001,"{'model__activations': ['elu', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0.001}",-0.008465015022352713,-0.007847998883340989,-0.006064313074939096,-0.005250515177961775,-0.006158518479888588,-0.006757272127696631,0.0012012564534572244,4
42,2.713958406448364,0.023434229699213154,0.0009999275207519531,0.0,"['elu', 'identity']",0.01,0.1,"{'model__activations': ['elu', 'identity'], 'model__epsilon': 0.01, 'model__llambda': 0.1}",-0.06524889448533441,-0.06613890804498157,-0.059577453016985936,-0.06197841849542675,-0.06483326562696361,-0.06355538793393846,0.0024284279201008422,23
